,edge_type,pwi,segments_1,segments_2,segments_3,segments_4,segments_5,segments_6,segments_7,segments_8,sink,source,weight,weight_ct
27,full_complement,7.891037000000001,0.987281,0.979332,0.986053,0.998812,0.97662,0.997139,0.982688,0.983112,A/chicken/Shanghai/S1080/2013,A/Anhui/1-YK_RG03/2013,0.14285714285714285,1
28,full_complement,7.97306,0.985965,0.99912,0.998605,0.999406,0.999332,0.996423,0.998982,0.995227,A/Beijing/1/2013,A/Anhui/1-YK_RG03/2013,0.14285714285714285,1
29,full_complement,7.845662999999999,0.960965,0.970976,0.996281,0.997029,0.963928,0.998569,0.994908,0.963007,A/silkie chicken/Shenzhen/918/2013,A/Anhui/1-YK_RG03/2013,0.14285714285714285,1
30,full_complement,7.9908,0.998246,0.99912,0.999535,0.998812,0.998664,0.996423,1.0,1.0,A/environment/Fujian/SC337/2013,A/Anhui/1-YK_RG03/2013,0.14285714285714285,1
31,full_complement,7.993191,0.998684,0.99912,0.998605,0.999406,1.0,0.998569,1.0,0.998807,A/duck/Anhui/SC702/2013,A/Anhui/1-YK_RG03/2013,0.14285714285714285,1
32,full_complement,7.988099999999999,0.998684,0.99912,0.999535,0.998217,1.0,0.9935620000000001,0.998982,1.0,A/chicken/Shanghai/S1053/2013,A/Anhui/1-YK_RG03/2013,0.14285714285714285,1
33,full_complement,7.987988,0.998273,0.997409,0.999547,0.996487,0.998701,0.998569,0.999002,1.0,A/duck/Sunan/040802G/2013,A/Anhui/1-YK_RG03/2013,0.14285714285714285,1
34,full_complement,7.9940679999999995,0.999561,0.99912,0.998605,0.999406,1.0,0.998569,1.0,0.998807,A/Beijing/2/2013,A/Anhui/1-YK_RG03/2013,0.14285714285714285,1
35,full_complement,7.9831140000000005,0.999123,0.998681,0.99907,1.0,1.0,0.996423,0.989817,1.0,A/chicken/Zhejiang/SD019/2013,A/Anhui/1-YK_RG03/2013,0.14285714285714285,1
36,full_complement,7.844557,0.960526,0.970536,0.997675,0.995247,0.962592,0.997854,0.995927,0.9642,A/chicken/Shenzhen/801/2013,A/Anhui/1-YK_RG03/2013,0.14285714285714285,1
37,full_complement,7.985639,0.999561,0.99956,0.997211,0.999406,1.0,0.994993,0.994908,1.0,A/environment/Shanghai/S1088/2013,A/Anhui/1-YK_RG03/2013,0.14285714285714285,1
38,full_complement,7.992323,0.999561,0.99956,0.997675,0.999406,1.0,0.997139,0.998982,1.0,A/chicken/Shanghai/S1413/2013,A/Anhui/1-YK_RG03/2013,0.14285714285714285,1
39,full_complement,7.949573999999999,0.997368,0.992524,0.99907,0.998217,0.98998,0.994993,0.978615,0.998807,A/Nanjing/1/2013,A/Anhui/1-YK_RG03/2013,0.14285714285714285,1
40,full_complement,7.843951000000001,0.959211,0.9714160000000001,0.997675,0.994058,0.962592,0.997854,0.996945,0.9642,A/chicken/Shenzhen/898/2013,A/Anhui/1-YK_RG03/2013,0.14285714285714285,1
41,full_complement,7.975358,0.992105,0.996922,0.99814,0.999406,0.997328,0.999285,0.996945,0.995227,A/chicken/Shanghai/017/2013,A/Anhui/1-YK_RG03/2013,0.14285714285714285,1
42,full_complement,7.991968999999999,0.999123,0.99912,0.999535,0.999406,0.998664,0.997139,0.998982,1.0,A/pigeon/Shanghai/S1421/2013,A/Anhui/1-YK_RG03/2013,0.14285714285714285,1
43,full_complement,7.9880189999999995,0.997807,0.99912,0.998605,0.999406,1.0,0.997854,1.0,0.995227,A/Beijing/3/2013,A/Anhui/1-YK_RG03/2013,0.14285714285714285,1
44,full_complement,7.9943800000000005,0.999123,0.99956,0.999535,0.999406,0.998664,0.999285,1.0,0.998807,A/Shanghai/MH01/2013,A/Anhui/1-YK_RG03/2013,0.14285714285714285,1
45,full_complement,7.993716,0.998684,0.99912,0.998605,0.999406,0.999332,0.998569,1.0,1.0,A/chicken/Guangdong/G1/2013,A/Anhui/1-YK_RG03/2013,0.14285714285714285,1
46,full_complement,7.994148000000001,0.998684,0.99956,0.99907,0.998217,0.999332,0.999285,1.0,1.0,A/chicken/Shanghai/S1410/2013,A/Anhui/1-YK_RG03/2013,0.14285714285714285,1
47,full_complement,7.989587,0.998684,0.99912,0.99907,0.999406,0.999332,0.994993,0.998982,1.0,A/chicken/Shanghai/S1055/2013,A/Anhui/1-YK_RG03/2013,0.14285714285714285,1
48,full_complement,7.987681,0.998246,0.99956,0.999535,0.999406,0.99666,0.997854,1.0,0.99642,A/chicken/Guangdong/G3/2013,A/Anhui/1-YK_RG03/2013,0.14285714285714285,1
49,full_complement,7.845662999999999,0.960965,0.970976,0.996281,0.997029,0.963928,0.998569,0.994908,0.963007,A/silkie chicken/Shenzhen/919/2013,A/Anhui/1-YK_RG03/2013,0.14285714285714285,1
50,full_complement,7.973606,0.999136,0.998273,0.983243,0.997658,0.998701,0.998591,0.998004,1.0,A/Zhejiang/DTID-ZJU01/2013,A/Anhui/1-YK_RG03/2013,0.14285714285714285,1
51,full_complement,7.9508719999999995,0.998246,0.969217,0.99907,0.998812,0.987976,0.998569,0.998982,1.0,A/chicken/Shanghai/019/2013,A/Anhui/1-YK_RG03/2013,0.14285714285714285,1
52,full_complement,7.991745000000001,0.998246,0.998241,0.99907,0.998812,1.0,0.998569,1.0,0.998807,A/Hangzhou/1/2013,A/Anhui/1-YK_RG03/2013,0.14285714285714285,1
53,full_complement,7.951512999999999,0.998684,0.969217,0.998605,0.998812,0.988644,0.998569,0.998982,1.0,A/pigeon/Shanghai/S1069/2013,A/Anhui/1-YK_RG03/2013,0.14285714285714285,1
54,full_complement,7.974364,0.992544,0.998681,0.988377,0.997623,1.0,0.997139,1.0,1.0,A/environment/Suzhou/14/2013,A/Anhui/1-YK_RG03/2013,0.14285714285714285,1
55,full_complement,7.994034,1.0,0.99912,0.998605,0.998217,1.0,0.999285,1.0,0.998807,A/Wuxi/3/2013,A/Anhui/1-YK_RG03/2013,0.14285714285714285,1
56,full_complement,7.9701130000000004,0.997809,0.997837,0.995467,0.994822,0.997379,0.995122,0.994,0.997677,A/New York/651/1995,A/Shengzhen/227/1995,1.0,1
57,full_complement,7.973006000000001,0.997372,0.999127,0.995889,0.993671,0.997356,0.996481,0.998985,0.994125,A/New York/650/1995,A/Shengzhen/227/1995,1.0,1
58,full_complement,7.968681,0.995677,0.997827,0.99728,0.994822,0.998689,0.996516,0.996,0.99187,A/New York/629/1995,A/Shengzhen/227/1995,1.0,1
59,full_complement,7.966150999999999,0.996077,0.994375,0.994545,0.995972,0.996697,0.995098,0.996954,0.996433,A/New York/694/1995,A/Shengzhen/227/1995,1.0,1
60,full_complement,7.97429,0.996078,0.998702,0.99728,0.993671,0.998689,0.996516,0.998,0.995354,A/New York/604/1995,A/Shengzhen/227/1995,1.0,1
61,full_complement,7.9427970000000006,0.995614,0.995163,0.994886,0.990594,0.990648,0.987969,0.99389,0.9940329999999999,A/TW/130/96,A/Shengzhen/227/1995,1.0,1
62,full_complement,7.967744,0.996101,0.995224,0.99545,0.994822,0.998034,0.993666,0.997972,0.996475,A/Memphis/7/1996,A/Shengzhen/227/1995,1.0,1
63,full_complement,7.998824,1.0,1.0,1.0,0.998824,1.0,1.0,1.0,1.0,A/Singapore/DMS151/2010,A/Singapore/DMS143/2010,1.0,1
64,full_complement,7.987879,0.998246,1.0,0.99907,0.997648,1.0,0.997163,0.996945,0.998807,A/Taiwan/594/2011,A/Singapore/DMS143/2010,0.5,1
65,full_complement,7.979722,0.99693,0.996922,0.996746,0.997061,0.998664,0.996454,0.996945,1.0,A/Singapore/TT474/2010,A/Singapore/DMS143/2010,1.0,1
66,full_complement,7.987862000000001,0.999123,0.99912,0.999535,0.995885,0.999332,0.999291,0.997963,0.997613,A/Aarhus/INS3_655/2011,A/Singapore/DMS143/2010,0.5,1
67,full_complement,7.989856,0.997807,0.99912,1.0,0.997061,0.997996,0.997872,1.0,1.0,A/North Carolina/06/2011,A/Singapore/DMS143/2010,0.5,1
68,full_complement,7.992343,0.999123,0.99956,0.99814,0.997648,1.0,0.997872,1.0,1.0,A/Wisconsin/16/2011,A/Singapore/DMS143/2010,0.5,1
69,full_complement,7.990953,0.997368,0.998681,0.999535,0.998824,1.0,0.998582,0.997963,1.0,A/England/11520759/2011,A/Singapore/DMS143/2010,0.5,1
70,full_complement,7.989478,0.998246,0.998241,0.99907,0.999412,0.999332,0.998582,0.998982,0.997613,A/Boston/DOA39/2011,A/Singapore/DMS143/2010,0.5,1
71,full_complement,7.989872,0.998684,0.998681,1.0,0.997648,0.998664,0.998582,1.0,0.997613,A/North Carolina/09/2011,A/Singapore/DMS143/2010,0.5,1
72,full_complement,7.886882000000001,0.975389,0.990885,0.99264,0.990275,0.973203,0.9902299999999999,0.98004,0.99422,A/swine/Minnesota/02475/2008,A/swine/Minnesota/01358/2006,1.0,1
73,full_complement,7.994445,1.0,0.999565,0.998615,1.0,0.99934,0.999295,1.0,0.99763,A/California/VRDL18/2009,A/California/VRDL12/2009,1.0,1
74,full_complement,7.968801999999999,0.995238,0.995669,0.997719,0.995378,0.995446,0.996521,0.993994,0.998837,A/District of Columbia/WRAIR0300/2010,A/Peru/PER033/2010,1.0,1
75,full_complement,7.998535,0.999568,1.0,0.999544,0.999423,1.0,1.0,1.0,1.0,A/Peru/PER383/2010,A/Peru/PER033/2010,0.5,1
76,full_complement,7.999568,0.999568,1.0,1.0,1.0,1.0,1.0,1.0,1.0,A/Peru/PER057/2010,A/Peru/PER033/2010,0.5,1
77,full_complement,7.986666,0.998705,0.998701,0.998175,0.997691,0.997398,1.0,0.995996,1.0,A/Peru/PER362/2011,A/Peru/PER033/2010,0.5,1
78,full_complement,7.989212,0.999136,0.997835,0.998631,0.998845,0.998699,0.997222,1.0,0.998844,A/Peru/PER177/2010,A/Peru/PER033/2010,0.5,1
79,full_complement,7.995433,0.998705,0.999567,0.999544,0.998268,0.999349,1.0,1.0,1.0,A/Peru/PER012/2010,A/Peru/PER033/2010,0.5,1
80,full_complement,7.993527,0.999568,1.0,0.999544,0.998845,0.999349,0.997222,0.998999,1.0,A/Peru/PER336/2010,A/Peru/PER033/2010,0.5,1
81,full_complement,7.992062,0.999568,1.0,1.0,0.996536,0.999349,0.998611,0.997998,1.0,A/Peru/PER154/2010,A/Peru/PER033/2010,0.5,1
82,full_complement,7.9985669999999995,0.999568,1.0,1.0,1.0,1.0,1.0,0.998999,1.0,A/Peru/PER023/2010,A/Peru/PER033/2010,0.5,1
83,full_complement,7.996010999999999,0.999562,0.999134,0.999544,0.999423,0.999349,1.0,0.998999,1.0,A/Peru/PER374/2011,A/Peru/PER033/2010,0.3333333333333333,1
84,full_complement,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,A/Peru/PER004/2010,A/Peru/PER033/2010,0.5,1
85,full_complement,7.988643,0.999134,0.999134,0.999088,0.996536,0.998699,0.997216,1.0,0.998836,A/Boston/DOA52/2011,A/Peru/PER033/2010,0.5,1
86,full_complement,7.997212,1.0,0.999573,1.0,0.998278,0.999361,1.0,1.0,1.0,A/northern pintail/Alaska/2011-0703/2011,A/emperor goose/Alaska/2011-0713/2011,1.0,1
87,full_complement,7.969365,0.996111,0.996155,0.999095,0.997704,0.992308,0.993759,1.0,0.994233,A/wild waterfowl/Dongting/C2203/2011,A/emperor goose/Alaska/2011-0713/2011,1.0,1
88,full_complement,7.974311,0.995678,0.996583,0.999095,0.995408,0.996166,0.995839,0.999002,0.99654,A/wild waterfowl/Dongting/C3109 /2011,A/emperor goose/Alaska/2011-0713/2011,1.0,1
89,full_complement,7.97949,0.996543,0.997437,0.999095,0.995408,0.996166,0.995839,0.999002,1.0,A/bean goose/Korea/220/2011,A/emperor goose/Alaska/2011-0713/2011,1.0,1
90,full_complement,7.997058,1.0,0.999566,0.999086,0.999418,1.0,1.0,0.998988,1.0,A/Waikato/46/2003,A/Waikato/155/2003,1.0,1
91,full_complement,7.964314,0.997383,0.995194,0.999542,0.990767,0.99605,0.994338,0.996964,0.994076,A/Memphis/40/1983,A/Christ's Hospital/157/1982,1.0,1
92,full_complement,7.967604000000001,0.997401,0.996109,0.999088,0.991995,0.996073,0.995813,0.997,0.994125,A/Memphis/7/1983,A/Christ's Hospital/157/1982,1.0,1
93,full_complement,7.95636,0.996949,0.996089,0.999545,0.991963,0.996063,0.995095,0.995968,0.984688,A/Memphis/14/1983,A/Christ's Hospital/157/1982,1.0,1
94,full_complement,7.966895,0.997835,0.996109,0.999088,0.990852,0.996073,0.995813,0.997,0.994125,A/Memphis/11/1983,A/Christ's Hospital/157/1982,1.0,1
95,full_complement,7.949717000000001,0.995654,0.995213,0.998636,0.99019,0.996073,0.995795,0.996957,0.981199,A/Memphis/44/1983,A/Christ's Hospital/157/1982,1.0,1
96,full_complement,7.962859,0.997376,0.996084,0.999088,0.99019,0.996073,0.99505,0.994908,0.99409,A/Memphis/47/1983,A/Christ's Hospital/157/1982,1.0,1
97,full_complement,7.984413,0.996085,0.996529,1.0,0.998276,0.998012,0.997889,1.0,0.997622,A/New Zealand/7/1983,A/Christ's Hospital/157/1982,1.0,1
98,full_complement,7.958063999999999,0.996511,0.996082,0.999544,0.991384,0.994761,0.995754,0.996954,0.987074,A/Memphis/53/1983,A/Christ's Hospital/157/1982,1.0,1
99,full_complement,7.9650810000000005,0.996084,0.996109,0.999093,0.991995,0.996073,0.995778,0.997,0.992949,A/Memphis/4/1983,A/Christ's Hospital/157/1982,1.0,1
100,full_complement,7.966254,0.997397,0.995631,0.999086,0.991949,0.995419,0.995757,0.99696,0.994055,A/Memphis/23/1983,A/Christ's Hospital/157/1982,1.0,1
101,full_complement,7.9567049999999995,0.995654,0.996068,0.999086,0.991856,0.996073,0.995115,0.996954,0.985899,A/Memphis/19/1983,A/Christ's Hospital/157/1982,1.0,1
102,full_complement,7.962064,0.996934,0.995631,0.999542,0.991349,0.996071,0.995056,0.99696,0.990521,A/Memphis/24/1983,A/Christ's Hospital/157/1982,1.0,1
103,full_complement,7.956767999999999,0.996937,0.996068,0.999543,0.991856,0.996068,0.995813,0.996954,0.983529,A/Memphis/17/1983,A/Christ's Hospital/157/1982,1.0,1
104,full_complement,7.966609,0.997401,0.996109,0.999093,0.991995,0.996073,0.995813,0.996,0.994125,A/Memphis/8/1983,A/Christ's Hospital/157/1982,1.0,1
105,full_complement,7.968004,0.996954,0.996089,0.99725,0.993645,0.996728,0.991567,0.99696,0.998811,A/Memphis/1/1984,A/Christ's Hospital/157/1982,1.0,1
106,full_complement,7.967361,0.996934,0.996073,0.999543,0.991922,0.996071,0.995778,0.996964,0.994076,A/Memphis/21/1983,A/Christ's Hospital/157/1982,1.0,1
107,full_complement,7.963641,0.997372,0.995635,0.999543,0.99081,0.996066,0.99437,0.996954,0.992891,A/Memphis/30/1983,A/Christ's Hospital/157/1982,1.0,1
108,full_complement,7.9584969999999995,0.997383,0.995641,0.999091,0.991922,0.994698,0.995795,0.996954,0.987013,A/Memphis/28/1983,A/Christ's Hospital/157/1982,1.0,1
109,full_complement,7.959752,0.99693,0.996075,0.999543,0.991374,0.99606,0.995754,0.996957,0.987059,A/Memphis/35/1983,A/Christ's Hospital/157/1982,1.0,1
110,full_complement,7.952134,0.996089,0.994762,0.999544,0.991959,0.996055,0.994394,0.996957,0.982374,A/Memphis/39/1983,A/Christ's Hospital/157/1982,1.0,1
111,full_complement,7.963280000000001,0.997401,0.995654,0.999093,0.991995,0.996073,0.995115,0.995,0.992949,A/Memphis/15/1983,A/Christ's Hospital/157/1982,1.0,1
112,full_complement,7.966932000000001,0.996968,0.996109,0.999547,0.991995,0.996073,0.995115,0.997,0.994125,A/Memphis/12/1983,A/Christ's Hospital/157/1982,1.0,1
113,full_complement,7.957455,0.995658,0.996109,0.999546,0.991384,0.996073,0.995789,0.996997,0.985899,A/Memphis/13/1983,A/Christ's Hospital/157/1982,1.0,1
114,full_complement,7.958989999999999,0.997376,0.996075,0.999543,0.991945,0.996021,0.995074,0.995943,0.987013,A/Memphis/27/1983,A/Christ's Hospital/157/1982,1.0,1
115,full_complement,7.967083,0.997372,0.99607,0.99954,0.991274,0.996058,0.995766,0.996948,0.994055,A/Memphis/25/1983,A/Christ's Hospital/157/1982,1.0,1
116,full_complement,7.966584,0.997383,0.996078,0.999544,0.991963,0.996071,0.995754,0.996951,0.99284,A/Memphis/38/1983,A/Christ's Hospital/157/1982,1.0,1
117,full_complement,7.963437,0.99738,0.996073,0.999086,0.990794,0.996068,0.995046,0.994914,0.994076,A/Memphis/50/1983,A/Christ's Hospital/157/1982,1.0,1
118,full_complement,7.966008,0.995654,0.996068,0.999543,0.991865,0.996068,0.995795,0.99696,0.994055,A/Memphis/18/1983,A/Christ's Hospital/157/1982,1.0,1
119,full_complement,7.961994,0.997372,0.994767,0.999086,0.99081,0.995401,0.995754,0.995947,0.992857,A/Memphis/41/1983,A/Christ's Hospital/157/1982,1.0,1
120,full_complement,7.954159999999999,0.996953,0.995631,0.999087,0.991959,0.995419,0.995798,0.99696,0.982353,A/Memphis/22/1983,A/Christ's Hospital/157/1982,1.0,1
121,full_complement,7.967299000000001,0.996934,0.996068,0.999541,0.991922,0.996068,0.995754,0.996957,0.994055,A/Memphis/20/1983,A/Christ's Hospital/157/1982,1.0,1
122,full_complement,7.9619930000000005,0.996058,0.995207,0.999543,0.992533,0.996053,0.992923,0.99797,0.991706,A/Memphis/42/1983,A/Christ's Hospital/157/1982,1.0,1
123,full_complement,7.964796000000001,0.997392,0.99607,0.999087,0.990767,0.995419,0.995046,0.99696,0.994055,A/Memphis/51/1983,A/Christ's Hospital/157/1982,1.0,1
124,full_complement,7.957072999999999,0.996934,0.996082,0.99863,0.989619,0.994091,0.995077,0.994934,0.991706,A/Memphis/32/1983,A/Christ's Hospital/157/1982,1.0,1
125,full_complement,7.955504,0.997808,0.996068,0.999086,0.991354,0.996068,0.995795,0.996951,0.982374,A/Memphis/3/1983,A/Christ's Hospital/157/1982,1.0,1
126,full_complement,7.9574300000000004,0.997372,0.995639,0.999544,0.990815,0.995419,0.995778,0.996964,0.985899,A/Memphis/26/1983,A/Christ's Hospital/157/1982,1.0,1
127,full_complement,7.953041,0.997817,0.993892,0.999544,0.991349,0.996037,0.995074,0.996954,0.982374,A/Memphis/29/1983,A/Christ's Hospital/157/1982,1.0,1
128,full_complement,7.950367,0.99566,0.996066,0.999543,0.991959,0.992734,0.995074,0.996957,0.982374,A/Memphis/16/1983,A/Christ's Hospital/157/1982,1.0,1
129,full_complement,7.949662,0.995654,0.996068,0.999086,0.991959,0.994098,0.995813,0.99696,0.980024,A/Memphis/54/1983,A/Christ's Hospital/157/1982,1.0,1
130,full_complement,7.963037,0.997382,0.994767,0.999545,0.991344,0.995419,0.995754,0.995935,0.992891,A/Memphis/48/1983,A/Christ's Hospital/157/1982,1.0,1
131,full_complement,7.995889999999999,0.998701,0.999134,0.998631,0.999424,1.0,1.0,1.0,1.0,A/Boston/YGA_01024/2012,A/Boston/DOA2-104/2012,1.0,1
132,full_complement,7.996983,0.998701,0.999567,1.0,0.999424,1.0,0.999291,1.0,1.0,A/Boston/YGA_01033/2012,A/Boston/DOA2-104/2012,1.0,1
133,full_complement,7.993513999999999,0.998246,1.0,1.0,0.998849,1.0,0.998582,0.998993,0.998844,A/Boston/DOA2-120/2012,A/Boston/DOA2-104/2012,1.0,1
134,full_complement,7.997692,0.998701,0.999567,1.0,0.999424,1.0,1.0,1.0,1.0,A/Boston/DOA2-192/2013,A/Boston/DOA2-104/2012,1.0,1
135,reassortant,7.72335,0.977026,0.983976,0.976712,,0.964029,,,0.974087,A/duck/Italy/775/2004,A/mallard/Sweden/1671/2002,0.25,1
136,full_complement,7.999112,0.999568,1.0,0.999544,1.0,1.0,1.0,1.0,1.0,A/Peru/PER107/2010,A/Peru/PER083/2010,1.0,1
137,full_complement,7.992864000000001,0.999136,0.997835,0.999088,0.998845,0.999349,0.998611,1.0,1.0,A/Peru/PER059/2010,A/Peru/PER083/2010,1.0,1
138,full_complement,7.997407,1.0,0.999134,0.999544,0.999423,1.0,0.999306,1.0,1.0,A/Peru/PER060/2010,A/Peru/PER083/2010,1.0,1
139,full_complement,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,A/mallard/Sweden/1983/2003,A/mallard/Sweden/3329/2003,0.5,1
140,full_complement,7.999408,1.0,1.0,1.0,0.999408,1.0,1.0,1.0,1.0,A/mallard/Sweden/1970/2003,A/mallard/Sweden/3329/2003,0.5,1
141,full_complement,7.975122999999999,0.998256,0.995224,0.996322,0.995963,0.996717,0.997183,0.998987,0.996471,A/Ontario/3620/2010,A/Sydney/DD3-55/2010,1.0,1
142,full_complement,7.916416999999999,0.996491,0.993843,0.989772,0.991682,0.99332,0.970021,0.990835,0.990453,A/duck/Hunan/S4111/2011,A/chicken/Zhejiang/C1083/2011,1.0,1
143,full_complement,7.999146,0.999573,0.999573,1.0,1.0,1.0,1.0,1.0,1.0,A/mallard duck/ALB/253/1990,A/mallard duck/ALB/155/1990,0.5,1
144,full_complement,7.998965999999999,1.0,1.0,0.999547,0.999419,1.0,1.0,1.0,1.0,A/mallard/Alberta/250/1990,A/mallard duck/ALB/155/1990,0.3333333333333333,1
145,full_complement,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,A/mallard/Alberta/207/1990,A/mallard duck/ALB/155/1990,0.5,1
146,full_complement,7.994578,0.999568,1.0,0.999094,0.999419,0.999351,0.9993,0.999002,0.998844,A/pintail/Alberta/145/1990,A/mallard duck/ALB/155/1990,0.5,1
147,reassortant,7.97331,,0.998718,,,,0.998637,,,A/duck/HuBei/03/2010,A/swine/Hubei/10/2008,0.5,1
148,full_complement,7.996195999999999,0.999566,0.998701,0.999091,0.998838,1.0,1.0,1.0,1.0,A/Canterbury/69/2002,A/Canterbury/48/2002,1.0,1
149,full_complement,7.993769,0.998699,0.999567,0.998636,0.998838,0.998029,1.0,1.0,1.0,A/Canterbury/79/2002,A/Canterbury/48/2002,1.0,1
150,full_complement,7.996421,0.999564,0.999566,1.0,1.0,0.998685,0.998606,1.0,1.0,A/Canterbury/61/2002,A/Canterbury/48/2002,1.0,1
151,full_complement,7.9848680000000005,0.99783,0.997811,0.999543,0.997001,0.99934,0.996379,0.996964,1.0,A/chicken/New York/122501-1/2005,A/Muscovy duck/New York/87493-3/2005,1.0,1
152,full_complement,7.983962999999999,0.997841,0.997387,0.999081,0.996005,0.998053,0.997908,1.0,0.997688,A/Houston/JMM_159/2013,A/Boston/YGA_00037/2013,1.0,1
153,full_complement,7.993444,0.998246,0.998681,0.99907,0.998824,0.999332,0.999291,1.0,1.0,A/swine/Ohio/A01432602/2013,A/Boston/YGA_00037/2013,1.0,1
154,full_complement,7.984845999999999,0.997409,0.997387,0.998162,0.996575,0.998702,0.998605,0.998006,1.0,A/Houston/JMM_148/2013,A/Boston/YGA_00037/2013,1.0,1
