Collector Institution	Collection Date	Country	State / Province	Host Species	Host Common Name	Subtype	Flu Test Status	Type	Strain Name	Contact Email Address	Bird Behavior	Age	Health	
Chulalongkorn University	07/30/2009	Thailand	Suphan Buri	Anas platyrhynchos	Mallard	H11N3	Positive	A	A/duck/Thailand/CU5408/2009(H11N3)	mceirs@umn.edu	Domestic	Adult	Healthy	
Chulalongkorn University	05/26/2010	Thailand	Nakhon Sawan	Anas platyrhynchos	Mallard	H3N8	Positive	A	A/duck/Thailand/CU-7518C/2010(H3N8)	mceirs@umn.edu	Domestic	Adult	Healthy	
Chulalongkorn University	05/26/2010	Thailand	Nakhon Sawan	Anas platyrhynchos	Mallard	H3N8	Positive	A	A/duck/Thailand/CU-7519C/2010(H3N8)	mceirs@umn.edu	Domestic	Adult	Healthy	
Chulalongkorn University	09/17/2010	Thailand	Nakhon Sawan	Anas platyrhynchos	Mallard	H9N7	Positive	A	A/duck/Thailand/CU-8319T/2010(H9N7)	mceirs@umn.edu	Domestic	Adult	Healthy	
Chulalongkorn University	12/22/2010	Thailand	Nakhon Sawan	Anas platyrhynchos	Mallard	H7N4	Positive	A	A/duck/Thailand/CU-9744C /2010(H7N4)	mceirs@umn.edu	Domestic	Adult	Healthy	
Chulalongkorn University	12/22/2010	Thailand	Nakhon Sawan	Anas platyrhynchos	Mallard	H7N4	Positive	A	A/duck/Thailand/CU-9754C/2010(H7N4)	mceirs@umn.edu	Domestic	Adult	Healthy	
Chulalongkorn University	01/18/2011	Thailand	Nakhon Sawan	Anas platyrhynchos	Mallard	H7N4	Positive	A	A/duck/Thailand/CU-10507T/2011(H7N4)	mceirs@umn.edu	Domestic	Adult	Healthy	
Chulalongkorn University	01/18/2011	Thailand	Nakhon Sawan	Anas platyrhynchos	Mallard	H7N4	Positive	A	A/duck/Thailand/CU-10510C/2011(H7N4)	mceirs@umn.edu	Domestic	Adult	Healthy	
Chulalongkorn University	01/18/2011	Thailand	Nakhon Sawan	Anas platyrhynchos	Mallard	H7N4	Positive	A	A/duck/Thailand/CU-10512C/2011(H7N4)	mceirs@umn.edu	Domestic	Adult	Healthy	
Chulalongkorn University	01/18/2011	Thailand	Nakhon Sawan	Anas platyrhynchos	Mallard	H7N4	Positive	A	A/duck/Thailand/CU-10518C/2011(H7N4)	mceirs@umn.edu	Domestic	Adult	Healthy	
Chulalongkorn University	01/18/2011	Thailand	Nakhon Sawan	Anas platyrhynchos	Mallard	H7N4	Positive	A	A/duck/Thailand/CU-10524C/2011(H7N4)	mceirs@umn.edu	Domestic	Adult	Healthy	
Chulalongkorn University	01/18/2011	Thailand	Nakhon Sawan	Anas platyrhynchos	Mallard	H7N4	Positive	A	A/duck/Thailand/CU-10525T/2011(H7N4)	mceirs@umn.edu	Domestic	Adult	Healthy	
Chulalongkorn University	01/18/2011	Thailand	Nakhon Sawan	Anas platyrhynchos	Mallard	H7N4	Positive	A	A/duck/Thailand/CU-10530C/2011(H7N4),A/duck/Thailand/CU-10530T/2011(H7N4)	mceirs@umn.edu	Domestic	Adult	Healthy	
Chulalongkorn University	01/18/2011	Thailand	Nakhon Sawan	Anas platyrhynchos	Mallard	H7N4	Positive	A	A/duck/Thailand/CU-10531T/2011(H7N4)	mceirs@umn.edu	Domestic	Adult	Healthy	
Chulalongkorn University	01/18/2011	Thailand	Nakhon Sawan	Anas platyrhynchos	Mallard	H7N4	Positive	A	A/duck/Thailand/CU-10534C/2011(H7N4)	mceirs@umn.edu	Domestic	Adult	Healthy	
Chulalongkorn University	12/20/2011	Thailand	Kamphaeng Phet	Anas platyrhynchos	Mallard	H3N6	Positive	A	A/duck/Thailand/CU-11824T/2011(H3N6),A/duck/Thailand/CU-11824C/2011(H3N6)	mceirs@umn.edu	Domestic	Hatch Year	Healthy	
Chulalongkorn University	12/20/2011	Thailand	Kamphaeng Phet	Anas platyrhynchos	Mallard	H3N6	Positive	A	A/duck/Thailand/CU-11825C/2011(H3N6)	mceirs@umn.edu	Domestic	Hatch Year	Healthy	
Chulalongkorn University	12/20/2011	Thailand	Kamphaeng Phet	Anas platyrhynchos	Mallard	H3N6	Positive	A	A/duck/Thailand/CU-11826C/2011(H3N6)	mceirs@umn.edu	Domestic	Hatch Year	Healthy	
Chulalongkorn University	12/20/2011	Thailand	Kamphaeng Phet	Anas platyrhynchos	Mallard	H3N6	Positive	A	A/duck/Thailand/CU-11827T/2011(H3N6),A/duck/Thailand/CU-11827C/2011(H3N6)	mceirs@umn.edu	Domestic	Hatch Year	Healthy	
Chulalongkorn University	12/20/2011	Thailand	Kamphaeng Phet	Anas platyrhynchos	Mallard	H3N6	Positive	A	A/duck/Thailand/CU-11828C/2011(H3N6),A/duck/Thailand/CU-11828T/2011(H3N6)	mceirs@umn.edu	Domestic	Hatch Year	Healthy	
Chulalongkorn University	12/20/2011	Thailand	Kamphaeng Phet	Anas platyrhynchos	Mallard	H3N6	Positive	A	A/duck/Thailand/CU-11831T/2011(H3N6),A/duck/Thailand/CU-11831C/2011(H3N6)	mceirs@umn.edu	Domestic	Hatch Year	Healthy	
Chulalongkorn University	12/20/2011	Thailand	Kamphaeng Phet	Anas platyrhynchos	Mallard	H1N3,H4N6	Positive	A	A/duck/Thailand/CU-11836C/2011(H1N3),A/duck/Thailand/CU-11836T/2011(H4N6)	mceirs@umn.edu	Domestic	Hatch Year	Healthy	
Chulalongkorn University	12/20/2011	Thailand	Kamphaeng Phet	Anas platyrhynchos	Mallard	H4N6	Positive	A	A/duck/Thailand/CU-11840T/2011(H4N6)	mceirs@umn.edu	Domestic	Hatch Year	Healthy	
Chulalongkorn University	12/20/2011	Thailand	Kamphaeng Phet	Anas platyrhynchos	Mallard	H1N9	Positive	A	A/duck/Thailand/CU-11869C/2011(H1N9)	mceirs@umn.edu	Domestic	Adult	Healthy	
Chulalongkorn University	02/08/2012	Thailand	Phitsanulok	Anas platyrhynchos	Mallard	H5N8	Positive	A	A/duck/Thailand/CU-12205C/2012(H5N8)	mceirs@umn.edu	Domestic	Hatch Year	Healthy	
Chulalongkorn University	02/28/2012	Thailand	Phichit	Anas platyrhynchos	Mallard	H11N2	Positive	A	A/duck/Thailand/CU-12326T/2012(H11N2)	mceirs@umn.edu	Domestic	Hatch Year	Healthy	
Chulalongkorn University	10/19/2012	Thailand	Ang Thong	Anas platyrhynchos	Mallard	H11N6	Positive	A	A/duck/Thailand/CU-12657T/2012(H11N6)	mceirs@umn.edu	Domestic	Hatch Year	Healthy	
Chulalongkorn University	10/19/2012	Thailand	Ang Thong	Anas platyrhynchos	Mallard	H11N6	Positive	A	A/duck/Thailand/CU-12658T/2012(H11N6)	mceirs@umn.edu	Domestic	Hatch Year	Healthy	
Chulalongkorn University	10/19/2012	Thailand	Ang Thong	Anas platyrhynchos	Mallard	H4N6	Positive	A	A/duck/Thailand/CU-12659T/2012(H4N6)	mceirs@umn.edu	Domestic	Hatch Year	Healthy	
Chulalongkorn University	10/19/2012	Thailand	Ang Thong	Anas platyrhynchos	Mallard	H11N9	Positive	A	A/duck/Thailand/CU-12660T/2012(H11N9)	mceirs@umn.edu	Domestic	Hatch Year	Healthy	
Chulalongkorn University	10/19/2012	Thailand	Ang Thong	Anas platyrhynchos	Mallard	H11N6	Positive	A	A/duck/Thailand/CU-12661T/2012(H11N6)	mceirs@umn.edu	Domestic	Hatch Year	Healthy	
Chulalongkorn University	10/19/2012	Thailand	Ang Thong	Anas platyrhynchos	Mallard	H11N9	Positive	A	A/duck/Thailand/CU-12662T/2012(H11N9)	mceirs@umn.edu	Domestic	Hatch Year	Healthy	
Chulalongkorn University	10/19/2012	Thailand	Ang Thong	Anas platyrhynchos	Mallard	H4N6	Positive	A	A/duck/Thailand/CU-12663T/2012(H4N6)	mceirs@umn.edu	Domestic	Hatch Year	Healthy	
Chulalongkorn University	10/19/2012	Thailand	Ang Thong	Anas platyrhynchos	Mallard	H11N6	Positive	A	A/duck/Thailand/CU-12677T/2012(H11N6)	mceirs@umn.edu	Domestic	Hatch Year	Healthy	
Chulalongkorn University	10/19/2012	Thailand	Ang Thong	Anas platyrhynchos	Mallard	H11N6	Positive	A	A/duck/Thailand/CU-12678C/2012(H11N6)	mceirs@umn.edu	Domestic	Hatch Year	Healthy	
Chulalongkorn University	10/19/2012	Thailand	Ang Thong	Anas platyrhynchos	Mallard	H4N6	Positive	A	A/duck/Thailand/CU-12679C/2012(H4N6)	mceirs@umn.edu	Domestic	Hatch Year	Healthy	
Chulalongkorn University	01/23/2013	Thailand	Kanchanaburi	Anas platyrhynchos	Mallard	H11N9	Positive	A	A/duck/Thailand/CU-12943C/2013(H11N9)	mceirs@umn.edu	Domestic	Hatch Year	Healthy	
Chulalongkorn University	01/25/2008	Thailand	Nakhon Sawan	Gallus gallus domesticus	Domestic Chicken	H5N1	Positive	A	A/chicken/Thailand/NS-339/2008(H5N1)	mceirs@umn.edu	Domestic	Undetermined	Undetermined	
Chulalongkorn University	02/04/2008	Thailand	Nakhon Sawan	Gallus gallus domesticus	Domestic Chicken	H5N1	Positive	A	A/chicken/Thailand/NS-341/2008(H5N1),A/chicken/Thailand/NS-342/2008(H5N1)	mceirs@umn.edu	Domestic	Undetermined	Undetermined	
Chulalongkorn University	11/14/2008	Thailand	Uthai Thani	Gallus gallus domesticus	Domestic Chicken	H5N1	Positive	A	A/chicken/Thailand/CU-352/2008(H5N1)	mceirs@umn.edu	Domestic	Adult	Healthy	
Chulalongkorn University	11/14/2008	Thailand	Uthai Thani	Gallus gallus domesticus	Domestic Chicken	H5N1	Positive	A	A/chicken/Thailand/CU-353/2008(H5N1)	mceirs@umn.edu	Domestic	Adult	Healthy	
Chulalongkorn University	11/14/2008	Thailand	Uthai Thani	Gallus gallus domesticus	Domestic Chicken	H5N1	Positive	A	A/chicken/Thailand/CU-354/2008(H5N1)	mceirs@umn.edu	Domestic	Adult	Healthy	
Chulalongkorn University	11/14/2008	Thailand	Uthai Thani	Gallus gallus domesticus	Domestic Chicken	H5N1	Positive	A	A/chicken/Thailand/CU-355/2008(H5N1)	mceirs@umn.edu	Domestic	Adult	Healthy	
Chulalongkorn University	11/03/2010	Thailand	Phitsanulok	Anas platyrhynchos [var. domesticus]	Mallard (Domestic)	H7N6	Positive	A	A/duck/Thailand/CU-LM7279T/2010(H7N6)	mceirs@umn.edu	Domestic	Adult	Healthy	
Chulalongkorn University	11/03/2010	Thailand	Phitsanulok	Anas platyrhynchos [var. domesticus]	Mallard (Domestic)	H7N6	Positive	A	A/duck/Thailand/CU-LM7280C/2010(H7N6)	mceirs@umn.edu	Domestic	Adult	Healthy	
Chulalongkorn University	11/03/2010	Thailand	Phitsanulok	Anas platyrhynchos [var. domesticus]	Mallard (Domestic)	H7N6	Positive	A	A/duck/Thailand/CU-LM7283C/2010(H7N6),A/duck/Thailand/CU-LM7283T/2010(H7N6)	mceirs@umn.edu	Domestic	Adult	Healthy	
Chulalongkorn University	11/03/2010	Thailand	Phitsanulok	Anas platyrhynchos [var. domesticus]	Mallard (Domestic)	H7N6	Positive	A	A/duck/Thailand/CU-LM7284C/2010(H7N6)	mceirs@umn.edu	Domestic	Adult	Healthy	
Chulalongkorn University	11/03/2010	Thailand	Phitsanulok	Anas platyrhynchos [var. domesticus]	Mallard (Domestic)	H7N6	Positive	A	A/duck/Thailand/CU-LM7285C/2010(H7N6)	mceirs@umn.edu	Domestic	Adult	Healthy	
Chulalongkorn University	11/03/2010	Thailand	Phitsanulok	Anas platyrhynchos [var. domesticus]	Mallard (Domestic)	H7N6	Positive	A	A/duck/Thailand/CU-LM7288T/2010(H7N6),A/duck/Thailand/CU-LM7288C/2010(H7N6)	mceirs@umn.edu	Domestic	Adult	Healthy	
Chulalongkorn University	11/03/2010	Thailand	Phitsanulok	Anas platyrhynchos [var. domesticus]	Mallard (Domestic)	H7N6	Positive	A	A/duck/Thailand/CU-LM7289C/2010(H7N6)	mceirs@umn.edu	Domestic	Adult	Healthy	
Environment Canada	08/28/2007	Canada	Alberta	Anas platyrhynchos	Mallard	H4N6	Positive	A	A/mallard/Alberta/330/2007(H4N6)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/06/2008	Canada	Alberta	Anas platyrhynchos	Mallard	H4N6	Positive	A	A/mallard/Alberta/121/2008(H4N6)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/07/2008	Canada	Alberta	Anas platyrhynchos	Mallard	H4N6	Positive	A	A/mallard/Alberta/270/2008(H4N6)	fluquery@yahoo.com	Wild	Adult	Healthy	
Environment Canada	08/08/2008	Canada	Alberta	Anas platyrhynchos	Mallard	H1N1	Positive	A	A/mallard/Alberta/496/2008(H1N1)	fluquery@yahoo.com	Wild	Adult	Healthy	
Environment Canada	08/08/2008	Canada	Alberta	Anas platyrhynchos	Mallard	H3N8	Positive	A	A/mallard/Alberta/507/2008(H3N8)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/08/2008	Canada	Alberta	Anas platyrhynchos	Mallard	H3N8	Positive	A	A/mallard/Alberta/527/2008(H3N8)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/08/2008	Canada	Alberta	Anas platyrhynchos	Mallard	H1N1	Positive	A	A/mallard/Alberta/569/2008(H1N1)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/19/2009	Canada	Alberta	Anas platyrhynchos	Mallard	H2N3	Positive	A	A/mallard/Alberta/35/2009(H2N3)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/19/2009	Canada	Alberta	Anas platyrhynchos	Mallard	H1N9	Positive	A	A/mallard/Alberta/155/2009(H1N9)	fluquery@yahoo.com	Wild	Hatch Year,Adult	Healthy	
Environment Canada	08/20/2009	Canada	Alberta	Anas platyrhynchos	Mallard	H2N9	Positive	A	A/mallard/Alberta/289/2009(H2N9)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/22/2009	Canada	Alberta	Anas platyrhynchos	Mallard	H2N3	Positive	A	A/mallard/Alberta/319/2009(H2N3)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/22/2009	Canada	Alberta	Anas platyrhynchos	Mallard	Mixed	Positive	A	A/mallard/Alberta/413/2009(mixed)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/22/2009	Canada	Alberta	Anas platyrhynchos	Mallard	H2N3	Positive	A	A/mallard/Alberta/417/2009(H2N3)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/22/2009	Canada	Alberta	Anas platyrhynchos	Mallard	H2N3	Positive	A	A/mallard/Alberta/419/2009(H2N3)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/22/2009	Canada	Alberta	Anas platyrhynchos	Mallard	H2N3	Positive	A	A/mallard/Alberta/421/2009(H2N3)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/23/2009	Canada	Alberta	Anas platyrhynchos	Mallard	H3N8	Positive	A	A/mallard/Alberta/551/2009(H3N8)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/18/2007	Canada	Alberta	Anas sp.	Duck	H3N8	Positive	A	A/unknown/Alberta/126/2007(H3N8)	fluquery@yahoo.com	Wild	Undetermined	Healthy	
Environment Canada	07/26/2006	Canada	Alberta	Anas platyrhynchos	Mallard	H1N3	Positive	A	A/mallard/Alberta/80/2006(H1N3)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/03/2006	Canada	Alberta	Anas platyrhynchos	Mallard	H1N1	Positive	A	A/mallard/Alberta/128/2006(H1N1)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/03/2006	Canada	Alberta	Anas platyrhynchos	Mallard	H1N3	Positive	A	A/mallard/Alberta/152/2006(H1N3)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/04/2006	Canada	Alberta	Anas platyrhynchos	Mallard	H1N1	Positive	A	A/mallard/Alberta/166/2006(H1N1)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/04/2006	Canada	Alberta	Anas platyrhynchos	Mallard	Mixed	Positive	A	A/mallard/Alberta/190/2006(mixed)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/09/2006	Canada	Alberta	Anas platyrhynchos	Mallard	H3N8	Positive	A	A/mallard/Alberta/212/2006(H3N8)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/09/2006	Canada	Alberta	Anas platyrhynchos	Mallard	H3N8	Positive	A	A/mallard/Alberta/214/2006(H3N8)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/09/2006	Canada	Alberta	Anas platyrhynchos	Mallard	H3N8	Positive	A	A/mallard/Alberta/219/2006(H3N8)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/09/2006	Canada	Alberta	Anas platyrhynchos	Mallard	Mixed	Positive	A	A/mallard/Alberta/220/2006(Mixed)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/09/2006	Canada	Alberta	Anas platyrhynchos	Mallard	H12N6	Positive	A	A/mallard/Alberta/221/2006(H12N6)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/09/2006	Canada	Alberta	Anas platyrhynchos	Mallard	H12N5	Positive	A	A/mallard/Alberta/224/2006(H12N5)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/09/2006	Canada	Alberta	Anas platyrhynchos	Mallard	H3N8	Positive	A	A/mallard/Alberta/225/2006(H3N8)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/09/2006	Canada	Alberta	Anas platyrhynchos	Mallard	H3N8	Positive	A	A/mallard/Alberta/228/2006(H3N8)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/09/2006	Canada	Alberta	Anas platyrhynchos	Mallard	H3N8	Positive	A	A/mallard/Alberta/238/2006(H3N8)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/09/2006	Canada	Alberta	Anas platyrhynchos	Mallard	H7N3	Positive	A	A/mallard/Alberta/243/2006(H7N3)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/09/2006	Canada	Alberta	Anas platyrhynchos	Mallard	H4N6	Positive	A	A/mallard/Alberta/246/2006(H4N6)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/09/2006	Canada	Alberta	Anas platyrhynchos	Mallard	H4N6	Positive	A	A/mallard/Alberta/254/2006(H4N6)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/09/2006	Canada	Alberta	Anas platyrhynchos	Mallard	Mixed	Positive	A	A/mallard/Alberta/256/2006(mixed)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/09/2006	Canada	Alberta	Anas platyrhynchos	Mallard	H4N6	Positive	A	A/mallard/Alberta/258/2006(H4N6)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/09/2006	Canada	Alberta	Anas platyrhynchos	Mallard	H3N8	Positive	A	A/mallard/Alberta/274/2006(H3N8)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/09/2006	Canada	Alberta	Anas platyrhynchos	Mallard	H3N8	Positive	A	A/mallard/Alberta/279/2006(H3N8)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/09/2006	Canada	Alberta	Anas platyrhynchos	Mallard	H4N6	Positive	A	A/mallard/Alberta/297/2006(H4N6)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/18/2007	Canada	Alberta	Anas platyrhynchos	Mallard	H3N8	Positive	A	A/mallard/Alberta/27/2007(H3N8)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/18/2007	Canada	Alberta	Anas platyrhynchos	Mallard	H3N8	Positive	A	A/mallard/Alberta/28/2007(H3N8)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/18/2007	Canada	Alberta	Anas platyrhynchos	Mallard	H3N8	Positive	A	A/mallard/Alberta/34/2007(H3N8)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/18/2007	Canada	Alberta	Anas platyrhynchos	Mallard	H1N1	Positive	A	A/mallard/Alberta/66/2007(H1N1)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/22/2007	Canada	Alberta	Anas platyrhynchos	Mallard	H1N5	Positive	A	A/mallard/Alberta/91/2007(H1N5)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/22/2007	Canada	Alberta	Anas platyrhynchos	Mallard	Mixed	Positive	A	A/mallard/Alberta/106/2007(mixed)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/22/2007	Canada	Alberta	Anas platyrhynchos	Mallard	H3N8,Mixed	Positive	A	A/mallard/Alberta/108/2007(mixed),A/mallard/Alberta/107/2007(H3N8)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/22/2007	Canada	Alberta	Anas platyrhynchos	Mallard	H3N8,Mixed	Positive	A	A/mallard/Alberta/112/2007(mixed),A/mallard/Alberta/111/207(H3N8)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/22/2007	Canada	Alberta	Anas platyrhynchos	Mallard	H4N6	Positive	A	A/mallard/Alberta/114/2007(H4N6)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/22/2007	Canada	Alberta	Anas platyrhynchos	Mallard	H3N8,Mixed	Positive	A	A/mallard/Alberta/116/2007(H3N8),A/mallard/Alberta/115/2007(mixed)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/22/2007	Canada	Alberta	Anas platyrhynchos	Mallard	H3N8	Positive	A	A/mallard/Alberta/122/2007(H3N8)	fluquery@yahoo.com	Wild	Adult	Healthy	
Environment Canada	08/22/2007	Canada	Alberta	Anas platyrhynchos	Mallard	H3N8	Positive	A	A/mallard/Alberta/130/2007(H3N8)	fluquery@yahoo.com	Wild	Adult	Healthy	
Environment Canada	08/22/2007	Canada	Alberta	Anas platyrhynchos	Mallard	H3N8	Positive	A	A/mallard/Alberta/134/2007(H3N8)	fluquery@yahoo.com	Wild	Adult	Healthy	
Environment Canada	08/22/2007	Canada	Alberta	Anas platyrhynchos	Mallard	H3N8,H4N6	Positive	A	A/mallard/Alberta/137/2007(H3N8),A/mallard/Alberta/138/2007(H4N6)	fluquery@yahoo.com	Wild	Adult	Healthy	
Environment Canada	08/22/2007	Canada	Alberta	Anas platyrhynchos	Mallard	H4N6	Positive	A	A/mallard/Alberta/145/2007(H4N6),A/mallard/Alberta/146/2007(H4N6)	fluquery@yahoo.com	Wild	Adult	Healthy	
Environment Canada	08/22/2007	Canada	Alberta	Anas platyrhynchos	Mallard	Mixed	Positive	A	A/mallard/Alberta/156/2007(Mixed) 	fluquery@yahoo.com	Wild	Adult	Healthy	
Environment Canada	08/22/2007	Canada	Alberta	Anas platyrhynchos	Mallard	H4N6	Positive	A	A/mallard/Alberta/160/2007(H4N6)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/03/2007	Canada	Alberta	Anas platyrhynchos	Mallard	H10N7	Positive	A	A/mallard/Alberta/182/2007(H10N7)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/03/2007	Canada	Alberta	Anas platyrhynchos	Mallard	H12N5	Positive	A	A/mallard/Alberta/234/2007(H12N5)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/04/2007	Canada	Alberta	Anas platyrhynchos	Mallard	Mixed	Positive	A	A/mallard/Alberta/284/2007(mixed)	fluquery@yahoo.com	Wild	Adult	Healthy	
Environment Canada	08/04/2007	Canada	Alberta	Anas platyrhynchos	Mallard	H10N7	Positive	A	A/mallard/Alberta/289/2007(H10N7)	fluquery@yahoo.com	Wild	Adult	Healthy	
Environment Canada	08/04/2007	Canada	Alberta	Anas platyrhynchos	Mallard	H2N9	Positive	A	A/mallard/Alberta/297/2007(H2N9)	fluquery@yahoo.com	Wild	Hatch Year	Healthy	
Environment Canada	08/28/2007	Canada	Alberta	Anas platyrhynchos	Mallard	H3N8	Positive	A	A/mallard/Alberta/312/2007(H3N8)	fluquery@yahoo.com	Wild	Adult	Healthy	
Environment Canada	08/28/2007	Canada	Alberta	Anas platyrhynchos	Mallard	H3N8	Positive	A	A/mallard/Alberta/318/2007(H3N8)	fluquery@yahoo.com	Wild	Adult	Healthy	
