Collector Institution	Collection Date	Country	State / Province	Host Species	Host Common Name	Subtype	Flu Test Status	Type	Strain Name	Contact Email Address	Age	Health	Behavior	
Carthage Veterinary Services, Ltd., Carthage, IL	09/30/2010	USA	Iowa	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Iowa/11-0909/2010(H1N1)	fluquery@yahoo.com	Juvenile	Healthy	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	09/30/2010	USA	Iowa	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Iowa/11-0918/2010(H1N1)	fluquery@yahoo.com	Juvenile	Healthy	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	10/18/2010	USA	Iowa	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Iowa/13-1021/2010(H1N2)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	10/18/2010	USA	Iowa	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Iowa/13-1023/2010(H1N2)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	10/18/2010	USA	Iowa	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Iowa/13-1027/2010(H1N2)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	10/12/2010	USA	Indiana	Sus scrofa domesticus	Swine	H3N2	Positive	A	A/swine/Indiana/28-1018/2010(H3N2)	fluquery@yahoo.com	Juvenile	Healthy	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	10/14/2010	USA	Indiana	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Indiana/29-1001/2010(H1N1)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	10/14/2010	USA	Indiana	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Indiana/29-1002/2010(H1N1)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	10/14/2010	USA	Indiana	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Indiana/29-1011/2010(H1N2)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	10/14/2010	USA	Indiana	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Indiana/29-1014/2010(H1N2)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	10/14/2010	USA	Indiana	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Indiana/29-1015/2010(H1N1)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	10/14/2010	USA	Indiana	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Indiana/29-1016/2010(H1N1)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	10/14/2010	USA	Indiana	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Indiana/29-1022/2010(H1N1)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	10/14/2010	USA	Indiana	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Indiana/29-1024/2010(H1N1)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	10/28/2010	USA	Iowa	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Iowa/10-1001/2010(H1N2)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	10/28/2010	USA	Iowa	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Iowa/10-1007/2010(H1N2)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	10/28/2010	USA	Iowa	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Iowa/10-1014/2010(H1N2)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	10/28/2010	USA	Iowa	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Iowa/10-1020/2010(H1N2)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	10/28/2010	USA	Iowa	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Iowa/10-1026/2010(H1N2)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	11/11/2010	USA	Indiana	Sus scrofa domesticus	Swine	H3N2	Positive	A	A/swine/Indiana/27-1102/2010(H3N2)	fluquery@yahoo.com	Juvenile	Healthy	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	11/11/2010	USA	Indiana	Sus scrofa domesticus	Swine	H3N2	Positive	A	A/swine/Indiana/27-1112/2010(H3N2)	fluquery@yahoo.com	Juvenile	Healthy	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	11/11/2010	USA	Indiana	Sus scrofa domesticus	Swine	H3N2	Positive	A	A/swine/Indiana/27-1122/2010(H3N2)	fluquery@yahoo.com	Juvenile	Healthy	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	01/10/2011	USA	Indiana	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Indiana/31-0122/2011(H1N1)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	02/14/2011	USA	Indiana	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Indiana/28-0202/2011(H1N2)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	02/14/2011	USA	Indiana	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Indiana/28-0210/2011(H1N2)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	02/14/2011	USA	Indiana	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Indiana/28-0223/2011(H1N2)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	02/20/2011	USA	Indiana	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Indiana/26-0222/2011(H1N2)	fluquery@yahoo.com	Juvenile	Healthy	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	03/03/2011	USA	Indiana	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Indiana/30-0327/2011(H1N2)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	03/31/2011	USA	Iowa	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Iowa/13-0301/2011(H1N2)	fluquery@yahoo.com	Juvenile	Healthy	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	05/14/2011	USA	Iowa	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Iowa/12-0501/2011(H1N2)	fluquery@yahoo.com	Juvenile	Healthy	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	05/14/2011	USA	Iowa	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Iowa/12-0524/2011(H1N2)	fluquery@yahoo.com	Juvenile	Healthy	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	06/30/2011	USA	Iowa	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Iowa/12-0602/2011(H1N1)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	06/30/2011	USA	Iowa	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Iowa/12-0606/2011(H1N1)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	06/30/2011	USA	Iowa	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Iowa/12-0609/2011(H1N1)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	06/30/2011	USA	Iowa	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Iowa/12-0612/2011(H1N1)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	06/30/2011	USA	Iowa	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Iowa/12-0615/2011(H1N1)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	06/30/2011	USA	Iowa	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Iowa/12-0626/2011(H1N1)	fluquery@yahoo.com	Juvenile	Sick	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	04/21/2011	USA	Iowa	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Iowa/14-0405/2011(H1N2)	fluquery@yahoo.com	Juvenile	Healthy	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	04/21/2011	USA	Iowa	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Iowa/14-0408/2011(H1N2)	fluquery@yahoo.com	Juvenile	Healthy	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	04/21/2011	USA	Iowa	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Iowa/14-0417/2011(H1N2)	fluquery@yahoo.com	Juvenile	Healthy	Domestic	
Carthage Veterinary Services, Ltd., Carthage, IL	04/21/2011	USA	Iowa	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Iowa/14-0427/2011(H1N2)	fluquery@yahoo.com	Juvenile	Healthy	Domestic	
Chulalongkorn University	10/09/2011	Thailand	Ratchaburi	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Thailand/CU-S3073N/2011(H1N2)	mceirs@umn.edu	Weanling	Sick	Domestic	
Chulalongkorn University	11/12/2009	Thailand	Saraburi	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Thailand/CU-ST3/2009(H1N1)	mceirs@umn.edu	Weanling	Sick	Domestic	
Chulalongkorn University	01/24/2012	Thailand	Chon Buri	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Thailand/CU-S3340N/2012(H1N1)	mceirs@umn.edu	Weanling	Sick	Domestic	
Chulalongkorn University	01/26/2012	Thailand	Ratchaburi	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Thailand/CU-S3243N/2012(H1N1)	mceirs@umn.edu	Weanling	Sick	Domestic	
Chulalongkorn University	01/26/2012	Thailand	Ratchaburi	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Thailand/CU-S3246N/2012(H1N1)	mceirs@umn.edu	Weanling	Sick	Domestic	
Chulalongkorn University	01/26/2012	Thailand	Ratchaburi	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Thailand/CU-S3248N/2012(H1N1)	mceirs@umn.edu	Weanling	Sick	Domestic	
Chulalongkorn University	02/13/2012	Thailand	Ratchaburi	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Thailand/CU-S3343N/2012(H1N1)	mceirs@umn.edu	Weanling	Sick	Domestic	
Chulalongkorn University	02/13/2012	Thailand	Ratchaburi	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Thailand/CU-S3245N/2012(H1N1)	mceirs@umn.edu	Weanling	Sick	Domestic	
Chulalongkorn University	02/13/2012	Thailand	Ratchaburi	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Thailand/CU-S3347N/2012(H1N1)	mceirs@umn.edu	Weanling	Sick	Domestic	
Chulalongkorn University	02/13/2012	Thailand	Ratchaburi	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Thailand/CU-S3350N/2012(H1N1)	mceirs@umn.edu	Weanling	Sick	Domestic	
Chulalongkorn University	07/05/2012	Thailand	Ratchaburi	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Thailand/CU-S3406N/2012(H1N1)	mceirs@umn.edu	Weanling	Sick	Domestic	
Chulalongkorn University	08/10/2012	Thailand	Chon Buri	Sus scrofa domesticus	Swine	H3N2	Positive	A	A/swine/Thailand/CU-S3474N/2012(H3N2)	mceirs@umn.edu	Juvenile	Sick	Domestic	
Chulalongkorn University	12/06/2012	Thailand	Nakhon Pathom	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Thailand/CU-S3629N/2012(H1N1)	mceirs@umn.edu	Weanling	Sick	Domestic	
Chulalongkorn University	12/06/2012	Thailand	Nakhon Pathom	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Thailand/CU-S3631N/2012(H1N2)	mceirs@umn.edu	Weanling	Sick	Domestic	
Chulalongkorn University	12/22/2012	Thailand	Chon Buri	Sus scrofa domesticus	Swine	H3N2	Positive	A	A/swine/Thailand/CU-S3673N/2012(H3N2)	mceirs@umn.edu	Weanling	Sick	Domestic	
Chulalongkorn University	01/16/2013	Thailand	Chon Buri	Sus scrofa domesticus	Swine	H3N2	Positive	A	A/swine/Thailand/CU-S3689N/2013(H3N2)	mceirs@umn.edu	Weanling	Sick	Domestic	
Chulalongkorn University	02/09/2013	Thailand	Nakhon Pathom	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Thailand/CU-S3794N/2013(H1N1)	mceirs@umn.edu	Weanling	Sick	Domestic	
Chulalongkorn University	02/09/2013	Thailand	Nakhon Pathom	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Thailand/CU-S3795N/2013(H1N1)	mceirs@umn.edu	Weanling	Sick	Domestic	
Chulalongkorn University	02/09/2013	Thailand	Nakhon Pathom	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Thailand/CU-S3796N/2013(H1N1)	mceirs@umn.edu	Weanling	Sick	Domestic	
Chulalongkorn University	02/09/2013	Thailand	Nakhon Pathom	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Thailand/CU-S3798N/2013(H1N1)	mceirs@umn.edu	Weanling	Sick	Domestic	
Chulalongkorn University	02/09/2013	Thailand	Nakhon Pathom	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Thailand/CU-S3799N/2013(H1N1)	mceirs@umn.edu	Weanling	Sick	Domestic	
Chulalongkorn University	02/21/2011	Thailand	Chiang Mai	Sus scrofa	Wild Boar	H3N2	Positive	A	A/swine/Thailand/CU-CG43/2011(H3N2)	mceirs@umn.edu	Weanling	Healthy	Domestic	
Chulalongkorn University	02/21/2011	Thailand	Chiang Mai	Sus scrofa	Wild Boar	H3N2	Positive	A	A/swine/Thailand/CU-CG45/2011(H3N2)	mceirs@umn.edu	Weanling	Healthy	Domestic	
Chulalongkorn University	02/21/2011	Thailand	Chiang Mai	Sus scrofa	Wild Boar	H3N2	Positive	A	A/swine/Thailand/CU-CG48/2011(H3N2)	mceirs@umn.edu	Weanling	Healthy	Domestic	
Chulalongkorn University	12/02/2010	Thailand	Nakhon Ratchasima	Sus scrofa	Wild Boar	H1N1	Positive	A	A/swine/Thailand/CU-DP83/2010(H1N1)	mceirs@umn.edu	Weanling	Sick	Domestic	
Chulalongkorn University	11/25/2010	Thailand	Chachoengsao	Sus scrofa	Wild Boar	H1N1	Positive	A	A/swine/Thailand/CU-PL63/2010(H1N1)	mceirs@umn.edu	Weanling	Healthy	Domestic	
Chulalongkorn University	11/25/2010	Thailand	Chachoengsao	Sus scrofa	Wild Boar	H1N1	Positive	A	A/swine/Thailand/CU-PL65/2010(H1N1)	mceirs@umn.edu	Weanling	Healthy	Domestic	
Chulalongkorn University	09/22/2010	Thailand	Chon Buri	Sus scrofa	Wild Boar	H1N1	Positive	A	A/swine/Thailand/CU-PS73/2010(H1N1)	mceirs@umn.edu	Weanling	Healthy	Domestic	
Chulalongkorn University	09/23/2010	Thailand	Ratchaburi	Sus scrofa	Wild Boar	H1N1	Positive	A	A/swine/Thailand/CU-RP1/2010(H1N1)	mceirs@umn.edu	Weanling	Sick	Domestic	
Chulalongkorn University	09/23/2010	Thailand	Ratchaburi	Sus scrofa	Wild Boar	H1N1	Positive	A	A/swine/Thailand/CU-RP3/2010(H1N1)	mceirs@umn.edu	Weanling	Sick	Domestic	
Chulalongkorn University	04/06/2010	Thailand	Saraburi	Sus scrofa	Wild Boar	H1N1	Positive	A	A/swine/Thailand/CU-SA412/2010(H1N1)	mceirs@umn.edu	Weanling	Sick	Domestic	
Chulalongkorn University	04/06/2010	Thailand	Saraburi	Sus scrofa	Wild Boar	H1N1	Positive	A	A/swine/Thailand/CU-SA432/2010(H1N1)	mceirs@umn.edu	Weanling	Healthy	Domestic	
Chulalongkorn University	06/27/2010	Thailand	Saraburi	Sus scrofa	Wild Boar	H1N1	Positive	A	A/swine/Thailand/CU-SA433/2010(H1N1)	mceirs@umn.edu	Weanling	Sick	Domestic	
Chulalongkorn University	01/15/2012	Thailand	Bangkok	Canis lupus familiaris	Dog	H3N2	Positive	A	A/canine/Thailand/CU-DC5299/2012(H3N2)	mceirs@umn.edu	Adult	Healthy,Sick	Domestic	
Chulalongkorn University	11/06/2009	Thailand	Ratchaburi	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Thailand/CU-RA4/2009(H1N1)	mceirs@umn.edu	Weanling	Sick	Domestic	
Chulalongkorn University	11/06/2009	Thailand	Ratchaburi	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Thailand/CU-RA9/2009(H1N1)	mceirs@umn.edu	Weanling	Sick	Domestic	
Chulalongkorn University	12/26/2009	Thailand	Ratchaburi	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Thailand/CU-RA20/2009(H1N1)	mceirs@umn.edu	Weanling	Sick	Domestic	
Chulalongkorn University	12/26/2009	Thailand	Ratchaburi	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Thailand/CU-RA29/2009(H1N1)	mceirs@umn.edu	Weanling	Sick	Domestic	
Chulalongkorn University	12/15/2009	Thailand	Chon Buri	Sus scrofa domesticus	Swine	H1N2	Positive	A	A/swine/Thailand/CU-Cbo/2009(H1N2)	mceirs@umn.edu	Weanling	Sick	Domestic	
Chulalongkorn University	11/16/2009	Thailand	Udon Thani	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Thailand/CU-M6_1/2009(H1N1)	mceirs@umn.edu	Weanling	Sick	Domestic	
Chulalongkorn University	11/16/2009	Thailand	Udon Thani	Sus scrofa domesticus	Swine	H1N1	Positive	A	A/swine/Thailand/CU-M8_2/2009(H1N1)	mceirs@umn.edu	Weanling	Sick	Domestic	
Chulalongkorn University	03/05/2009	Thailand	Chon Buri	Sus scrofa domesticus	Swine	H3N2	Positive	A	A/swine/Thailand/CU-PN4_1/2009(H3N2)	mceirs@umn.edu	Weanling	Undetermined	Domestic	
